Cereal,Protein,Fat,Sugars
1,2,2,10
2,3,2,8
3,6,2,1
4,1,3,9
5,3,2,7
6,1,1,13
7,1,1,13
8,2,1,10
9,1,1,9
10,3,1,10
11,2,1,3
12,2,1,12
13,2,1,6
14,3,2,10
15,3,2,8
16,2,1,3
17,3,1,14
18,3,1,3
19,2,1,3
20,1,1,12
21,3,1,3
22,2,1,8
23,4,1,5
24,4,0,0
25,2,0,14
26,2,0,2
27,1,0,12
28,3,3,7
29,2,0,3
30,2,1,13
31,1,0,11
32,3,0,7
33,3,0,12
34,2,1,6
35,3,1,9
36,3,2,13
37,2,1,9
38,3,2,7
39,3,0,2
40,3,0,3
41,3,1,12
42,2,0,6
43,2,0,3
44,2,1,15
45,6,0,3
46,4,1,6
47,2,0,0
48,3,0,0
49,3,0,0
50,2,0,5
51,3,0,5
52,3,2,10
53,1,1,12
54,2,0,15
55,3,1,5
56,3,0,3
57,3,3,4
58,1,0,11
59,3,1,14
60,3,5,8
61,1,2,12
62,1,2,11
63,4,2,6
64,1,0,0
65,2,0,0
66,4,1,6
67,2,2,8
68,2,1,6
69,2,0,3
70,2,0,5
71,4,3,11
72,4,3,11
73,1,0,2
74,3,1,3
75,4,1,3
76,3,0,0
77,5,2,-1
